2026-08-08 05:41:31 | INFO     | deepfake_agentic:__init__:14 - Initialized agent: Audio Analysis Agent
2026-08-08 05:41:31 | WARNING  | deepfake_agentic:_load_model:27 - [Audio Analysis Agent] Model path not provided or found. Running in heuristic/fallback mode.
2026-08-08 05:43:00 | INFO     | deepfake_agentic:__init__:14 - Initialized agent: Lip Sync Agent
2026-08-08 05:43:00 | WARNING  | deepfake_agentic:_load_model:25 - [Lip Sync Agent] Model path not provided or found. Running in heuristic/fallback mode.
2026-08-08 05:43:01 | INFO     | deepfake_agentic:__init__:14 - Initialized agent: Motion Analysis Agent
2026-08-08 05:43:01 | WARNING  | deepfake_agentic:_load_model:25 - [Motion Analysis Agent] Model path not provided or found. Running in heuristic/fallback mode.
2026-08-08 05:43:01 | INFO     | deepfake_agentic:__init__:14 - Initialized agent: Metadata Analysis Agent
2026-08-08 05:52:23 | INFO     | deepfake_agentic:__init__:14 - Initialized agent: Face Analysis Agent
2026-08-08 05:52:23 | WARNING  | deepfake_agentic:_load_model:28 - [Face Analysis Agent] Model path not provided or found. Running in heuristic/mock fallback mode.
2026-08-08 05:52:23 | INFO     | deepfake_agentic:__init__:14 - Initialized agent: Audio Analysis Agent
2026-08-08 05:52:23 | WARNING  | deepfake_agentic:_load_model:27 - [Audio Analysis Agent] Model path not provided or found. Running in heuristic/fallback mode.
2026-08-08 05:52:23 | INFO     | deepfake_agentic:__init__:14 - Initialized agent: Lip Sync Agent
2026-08-08 05:52:23 | WARNING  | deepfake_agentic:_load_model:25 - [Lip Sync Agent] Model path not provided or found. Running in heuristic/fallback mode.
2026-08-08 05:52:23 | INFO     | deepfake_agentic:__init__:14 - Initialized agent: Motion Analysis Agent
2026-08-08 05:52:23 | WARNING  | deepfake_agentic:_load_model:25 - [Motion Analysis Agent] Model path not provided or found. Running in heuristic/fallback mode.
2026-08-08 05:52:23 | INFO     | deepfake_agentic:__init__:14 - Initialized agent: Metadata Analysis Agent
2026-08-08 05:52:23 | INFO     | deepfake_agentic:analyze_media:50 - [Coordinator] Dispatching agents for parallel execution...
2026-08-08 05:52:23 | WARNING  | deepfake_agentic:aggregate:46 - [Fusion] Skipping Face Analysis Agent due to error: Missing frames
2026-08-08 05:52:23 | INFO     | deepfake_agentic:aggregate:86 - [Fusion] Aggregated Verdict: REAL (Score: 0.0, Conf: 0.125)
2026-08-08 05:57:29 | INFO     | deepfake_agentic:__init__:14 - Initialized agent: Face Analysis Agent
2026-08-08 05:57:29 | WARNING  | deepfake_agentic:_load_model:28 - [Face Analysis Agent] Model path not provided or found. Running in heuristic/mock fallback mode.
2026-08-08 05:57:29 | INFO     | deepfake_agentic:__init__:14 - Initialized agent: Audio Analysis Agent
2026-08-08 05:57:29 | WARNING  | deepfake_agentic:_load_model:27 - [Audio Analysis Agent] Model path not provided or found. Running in heuristic/fallback mode.
2026-08-08 05:57:29 | INFO     | deepfake_agentic:__init__:14 - Initialized agent: Lip Sync Agent
2026-08-08 05:57:29 | WARNING  | deepfake_agentic:_load_model:25 - [Lip Sync Agent] Model path not provided or found. Running in heuristic/fallback mode.
2026-08-08 05:57:29 | INFO     | deepfake_agentic:__init__:14 - Initialized agent: Motion Analysis Agent
2026-08-08 05:57:29 | WARNING  | deepfake_agentic:_load_model:25 - [Motion Analysis Agent] Model path not provided or found. Running in heuristic/fallback mode.
2026-08-08 05:57:29 | INFO     | deepfake_agentic:__init__:14 - Initialized agent: Metadata Analysis Agent
2026-08-08 05:57:29 | INFO     | deepfake_agentic:<module>:41 - Starting Equilizer FastAPI server on http://127.0.0.1:8000
2026-08-08 05:57:30 | INFO     | deepfake_agentic:__init__:14 - Initialized agent: Face Analysis Agent
2026-08-08 05:57:30 | WARNING  | deepfake_agentic:_load_model:28 - [Face Analysis Agent] Model path not provided or found. Running in heuristic/mock fallback mode.
2026-08-08 05:57:30 | INFO     | deepfake_agentic:__init__:14 - Initialized agent: Audio Analysis Agent
2026-08-08 05:57:30 | WARNING  | deepfake_agentic:_load_model:27 - [Audio Analysis Agent] Model path not provided or found. Running in heuristic/fallback mode.
2026-08-08 05:57:30 | INFO     | deepfake_agentic:__init__:14 - Initialized agent: Lip Sync Agent
